x,y,z,t,layer,id
-15.252115112767711,-159.03141091631878,206.9388783691914,3,1,102
-13.908130513664183,-159.46949455931522,205.41107356074116,4,1,102
11.938097968696862,-230.50921436165106,63.203094609348966,1,1,103
13.49959169424059,-230.70867614591089,63.06318220501975,2,1,103
14.635517955135228,-231.46751970206773,62.16497835065379,3,1,103
15.895024137588248,-232.178876136402,60.30189100666878,4,1,103
-11.983649644103764,-244.71128762938247,32.63500248623051,1,1,104
-10.712262275443678,-244.7569501828739,29.956066037448302,2,1,104
-10.10003979219433,-244.966975158205,28.143073946045725,3,1,104
-8.5276906658949585,-245.62212665466944,25.282455501069546,4,1,104
19.923770002656482,-265.22867204287985,32.549759807285426,1,1,105
23.287227158106088,-263.3637135167318,30.339396828985205,2,1,105
23.535653702990466,-263.5741902627046,29.737787134322982,3,1,105
25.376619653817414,-263.39729948367733,27.774988077294815,4,1,105
10.33329034786697,-263.06413557312885,27.531677418345758,1,1,106
13.206564034044455,-262.31282825857267,26.237760917136367,2,1,106
14.123135987687924,-262.7476350540556,25.64771589458021,3,1,106
14.897194054937454,-262.58462635565155,26.152382917521052,4,1,106
24.564749974134998,-152.57612893097337,209.85864456020573,1,1,107
25.585561302648866,-152.61977423454113,209.7405901037862,2,1,107
25.938977537982,-153.86867559456599,209.68389644470227,3,1,107
27.215090561394096,-154.46320531000967,208.84599675699621,4,1,107
-56.91356567308489,-215.56283779355005,154.44531345700452,1,1,108
-54.280278973049555,-215.91046123644148,153.2239465031255,2,1,108
-53.74785025931423,-218.59578599167907,152.7008931521063,3,1,108
-54.2540492112195,-220.19726176373038,155.00405135334816,4,1,108
-33.73349449914401,-219.8950965062911,151.65890146002434,1,1,109
-32.32252836446183,-219.99237550559928,150.6163251521026,2,1,109
-32.01256458572668,-221.1881378547299,151.04915996975603,3,1,109
-31.739515068139838,-222.20665375127234,150.46422336536205,4,1,109
-65.24381594570889,-225.9790898677572,116.6114807259419,1,1,110
-64.2747546711752,-225.3537488117593,115.91064313436135,2,1,110
-64.58931602398911,-226.45035892831655,116.48359645485921,3,1,110
-64.30266299793249,-226.00553965516042,113.50870271158587,4,1,110
-27.846564417414577,-227.79552724435032,118.38884236230169,1,1,111
-25.446084758815843,-228.62032185860613,119.313763961874,2,1,111
-23.1197900355221,-231.60732656049163,118.45492801818277,3,1,111
